192.168.1.128, 2017-05-19 21:01:27, GET, /welcome/default/user/register, HTTP/1.1, 200, 0.159764
192.168.1.128, 2017-05-19 21:01:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.149725
192.168.1.128, 2017-05-19 21:01:44, GET, /admin/default/site, HTTP/1.1, 200, 0.376624
192.168.1.128, 2017-05-19 21:01:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000873
192.168.1.128, 2017-05-19 21:01:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.126462
192.168.1.128, 2017-05-19 21:01:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.120823
192.168.1.128, 2017-05-19 21:01:58, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.026948
192.168.1.128, 2017-05-19 21:01:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000794
192.168.1.128, 2017-05-19 21:02:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.147868
192.168.1.128, 2017-05-19 21:02:10, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.024295
192.168.1.128, 2017-05-19 21:02:10, GET, /favicon.ico, HTTP/1.1, 400, 0.001383
192.168.1.128, 2017-05-19 21:56:18, GET, /, HTTP/1.1, 303, 0.003940
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.466187
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001704
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001230
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001153
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001196
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001202
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001211
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001194
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001208
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001190
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001278
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001252
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001189
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.007477
192.168.1.128, 2017-05-19 21:56:18, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001956
